simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;0.0;2.8220833333333335;0;0;0;0;51;0;55;0
2;14.4;2.974074074074074;0;0;0;0;22;0;32;0
3;0.0;3.080914351851852;0;0;0;0;27;0;34;0
4;0.0;3.1441319444444447;0;0;0;0;12;0;0;0
5;0.0;2.9809953703703704;0;0;0;0;62;0;57;0
6;0.0;3.62234375;0;0;0;0;520;0;514;0
7;0.0;3.0975;0;0;0;0;88;0;89;0
8;0.0;2.885318287037037;0;0;0;0;2;0;7;0
9;0.0;3.0192592592592593;0;0;0;0;91;0;96;0
10;0.0;2.730983796296296;0;0;0;0;17;0;33;0
11;29.35;3.1044328703703705;0;0;0;0;49;0;57;0
12;0.0;2.9864699074074075;0;0;0;0;78;0;71;0
13;0.0;2.897175925925926;0;0;0;0;48;0;41;0
14;0.0;2.73;0;0;0;0;73;0;62;0
15;0.0;2.6029166666666668;0;0;0;0;31;0;32;0
16;0.0;2.64927662037037;0;0;0;0;6;0;0;0
17;0.0;2.47546875;0;0;0;0;11;0;3;0
18;15.133333333333333;3.099710648148148;0;0;0;0;190;2;180;0
19;0.0;2.6877199074074074;0;0;0;0;28;0;20;0
20;6.216666666666667;3.175925925925926;0;0;0;0;57;1;61;0
21;0.0;4.131990740740741;0;0;0;0;420;0;420;0
25;0.0;2.948900462962963;0;0;0;0;38;0;40;0
26;0.0;2.8457986111111113;0;0;0;0;29;0;30;0
27;0.0;2.755914351851852;0;0;0;0;16;0;16;0
28;0.0;2.882349537037037;0;0;0;0;6;0;9;0
29;0.0;2.885648148148148;0;0;0;0;18;0;24;0
30;0.0;3.1430555555555557;0;0;0;0;76;0;79;0
31;0.0;2.3236458333333334;0;0;0;0;55;0;49;0
32;15.416666666666666;3.0495717592592593;0;0;0;0;56;0;56;0
33;15.316666666666666;2.6470833333333332;0;0;0;0;46;0;54;0
34;0.0;3.1780497685185187;0;0;0;0;314;0;307;0
35;2.8666666666666667;3.2294965277777776;0;0;0;0;435;2;435;0
36;0.0;0.999988425925926;0;0;0;0;0;0;0;0
38;0.0;2.875462962962963;0;0;0;0;25;0;31;0
39;0.0;2.516087962962963;0;0;0;0;19;0;15;0
40;0.0;2.5854166666666667;0;0;0;0;60;0;62;0
41;12.633333333333333;3.116574074074074;0;0;0;0;80;0;93;0
42;0.0;2.584791666666667;0;0;0;0;48;0;35;0
43;9.266666666666667;3.2134085648148147;0;0;0;0;345;1;340;0
44;0.0;2.621886574074074;0;0;0;0;66;0;63;0
45;0.0;2.335792824074074;0;0;0;0;9;0;10;0
46;0.0;2.4665162037037036;0;0;0;0;126;0;114;0
47;0.0;2.6486111111111112;0;0;0;0;145;0;130;0
48;0.0;2.2854918981481482;0;0;0;0;14;0;2;0
49;31.783333333333335;3.0402141203703703;0;0;0;0;42;0;52;0
50;0.0;2.489895833333333;0;0;0;0;105;0;103;0
51;0.0;2.417662037037037;0;0;0;0;104;0;99;0
52;0.0;2.4675231481481483;0;0;0;0;108;0;103;0
53;0.0;2.518923611111111;0;0;0;0;122;0;133;0
54;0.0;2.1021180555555556;0;0;0;0;13;0;21;0
55;0.0;3.084716435185185;0;0;0;0;294;0;299;0
56;0.0;2.7225462962962963;0;0;0;0;63;0;69;0
57;3.15;2.5083796296296295;0;0;0;0;97;0;113;0
58;0.0;2.7545891203703703;0;0;0;0;21;0;18;0
59;0.0;2.8375462962962965;0;0;0;0;57;0;53;0
60;0.0;2.7405902777777778;0;0;0;0;16;0;14;0
61;5.05;2.9304050925925926;0;0;0;0;107;0;108;0
62;0.0;2.990127314814815;0;0;0;0;15;0;19;0
63;0.0;2.9078298611111113;0;0;0;0;3;0;6;0
64;1.85;3.067800925925926;0;0;0;0;23;0;39;0
65;20.2;3.024513888888889;0;0;0;0;39;1;50;0
66;0.0;3.0344675925925926;0;0;0;0;37;0;39;0
67;0.0;2.5055324074074075;0;0;0;0;81;0;87;0
69;0.0;3.3613310185185186;0;0;0;0;67;0;69;0
71;0.0;2.522777777777778;0;0;0;0;52;0;60;0
72;0.0;2.0923784722222223;0;0;0;0;9;0;8;0
73;0.0;2.593605324074074;0;0;0;0;135;0;139;0
74;0.0;2.6280787037037037;0;0;0;0;59;0;42;0
75;0.0;2.6074652777777776;0;0;0;0;70;0;68;0
76;0.0;4.138344907407407;0;0;0;0;58;0;53;0
77;4.816666666666666;2.846539351851852;0;0;0;0;65;0;71;0
78;0.0;2.588483796296296;0;0;0;0;74;0;54;0
79;0.0;2.9264467592592593;0;0;0;0;84;0;81;0
80;0.0;3.050775462962963;0;0;0;0;138;0;141;0
81;10.366666666666667;2.2848842592592593;0;0;0;0;26;0;27;0
82;0.0;2.7266319444444442;0;0;0;0;56;0;77;0
83;0.0;2.9222800925925925;0;0;0;0;58;0;66;0
84;0.0;2.6666898148148146;0;0;0;0;25;0;16;0
85;0.0;2.7766608796296297;0;0;0;0;131;0;124;0
86;0.0;2.471157407407407;0;0;0;0;28;0;30;0
87;0.0;2.5830439814814814;0;0;0;0;50;0;57;0
88;0.0;2.560960648148148;0;0;0;0;85;0;90;0
89;0.0;2.7646296296296295;0;0;0;0;72;0;79;1
90;0.0;2.695665509259259;0;0;0;0;76;0;63;0
91;41.36666666666667;3.0400752314814814;0;0;0;0;36;0;18;0
92;0.0;3.327175925925926;0;0;0;0;35;0;34;0
93;0.75;2.8154050925925924;0;0;0;0;71;0;66;0
94;0.0;2.394675925925926;0;0;0;0;41;0;44;0
95;30.466666666666665;3.7888310185185183;0;0;0;0;441;8;439;0
96;0.0;2.2406828703703705;0;0;0;0;19;0;22;0
97;0.0;3.0627546296296297;0;0;0;0;33;0;37;0
98;0.0;3.016215277777778;0;0;0;0;38;0;32;1
99;51.5;2.7558854166666666;0;0;0;0;24;0;15;0
100;0.0;2.7975810185185184;0;0;0;0;19;0;22;0
101;0.0;2.9469502314814813;0;0;0;0;165;0;157;0
102;0.0;2.865480324074074;0;0;0;0;144;0;140;0
103;0.0;2.1220949074074076;0;0;0;0;18;0;9;0
104;0.0;2.507766203703704;0;0;0;0;28;0;19;0
105;0.0;2.5455092592592594;0;0;0;0;48;0;49;0
106;0.0;2.5451967592592593;0;0;0;0;30;0;19;0
107;0.0;3.0021412037037036;0;0;0;0;16;0;18;0
108;9.6;3.5602199074074075;0;0;0;0;74;0;74;6
109;55.96666666666667;2.517957175925926;0;0;0;0;16;0;24;0
110;0.0;2.801412037037037;0;0;0;0;50;0;42;0
111;82.13333333333334;1.9482638888888888;0;0;0;0;18;0;9;0
112;83.18333333333334;2.3383564814814815;0;0;0;0;18;0;15;0
113;0.0;2.810914351851852;0;0;0;0;47;0;42;0
114;0.0;2.8365798611111113;0;0;0;0;204;0;209;0
115;0.0;2.820034722222222;0;0;0;0;60;0;60;0
116;0.0;2.5920949074074073;0;0;0;0;54;0;57;0
117;0.0;2.5992824074074075;0;0;0;0;41;0;34;0
118;0.0;2.546053240740741;0;0;0;0;62;0;55;0
119;0.0;2.6542708333333334;0;0;0;0;28;0;29;0
120;0.0;2.4491319444444444;0;0;0;0;23;0;24;0
121;0.0;2.4859837962962965;0;0;0;0;46;0;39;0
122;0.0;2.6469212962962962;0;0;0;0;108;0;110;0
123;0.0;2.677199074074074;0;0;0;0;21;0;20;0
124;0.0;2.627407407407407;0;0;0;0;30;0;21;0
125;0.0;2.6911574074074074;0;0;0;0;60;0;53;0
126;0.0;2.5361805555555557;0;0;0;0;61;0;50;0
127;0.0;3.1570833333333335;0;0;0;0;43;0;50;0
128;0.0;2.2022800925925927;0;0;0;0;102;0;98;0
129;8.666666666666666;2.6205902777777776;0;0;0;0;83;1;90;0
130;14.283333333333333;2.8349652777777776;0;0;0;0;44;0;41;0
131;0.0;2.468541666666667;0;0;0;0;110;0;108;0
132;0.23333333333333334;2.6067939814814816;0;0;0;0;55;0;71;0
133;0.0;2.7356018518518517;0;0;0;0;97;0;102;0
134;4.433333333333334;2.7052372685185184;0;0;0;0;23;0;21;0
135;0.0;4.389201388888889;0;0;0;0;130;0;172;0
136;0.0;5.443993055555556;0;0;0;0;81;0;103;1
137;0.0;2.4902777777777776;0;0;0;0;40;0;44;0
138;0.0;2.476111111111111;0;0;0;0;37;0;35;0
139;0.0;2.7375694444444445;0;0;0;0;64;0;69;0
140;0.0;2.6254166666666667;0;0;0;0;43;0;46;0
141;0.0;2.731388888888889;0;0;0;0;39;0;50;0
142;0.0;2.8052546296296295;0;0;0;0;69;0;62;0
143;0.0;3.0715856481481483;0;0;0;0;42;0;41;0
144;0.0;3.0019328703703705;0;0;0;0;17;0;21;0
145;23.7;3.108923611111111;0;0;0;0;46;0;49;0
146;0.0;2.8866319444444444;0;0;0;0;16;0;12;0
147;15.516666666666667;3.2317824074074073;0;0;0;0;41;0;52;0
148;0.0;3.3524652777777777;0;0;0;0;66;0;70;0
149;0.0;2.8219675925925927;0;0;0;0;98;0;97;0
150;0.0;2.666087962962963;0;0;0;0;85;0;87;0
151;8.433333333333334;3.0904629629629627;0;0;0;0;59;0;58;0
152;0.0;3.6858217592592593;0;0;0;0;65;0;65;0
153;0.0;3.254375;0;0;0;0;60;0;69;0
154;0.0;3.2177546296296295;0;0;0;0;46;0;36;0
155;0.0;2.5203587962962963;0;0;0;0;12;0;8;0
156;0.0;2.7171180555555554;0;0;0;0;109;0;105;0
157;15.15;2.999699074074074;0;0;0;0;12;0;12;0
158;0.0;3.048425925925926;0;0;0;0;53;0;56;0
159;0.0;2.9966550925925928;0;0;0;0;54;0;53;0
160;130.33333333333334;6.379409722222222;0;0;0;0;120;0;112;0
161;0.0;2.877291666666667;0;0;0;0;172;0;168;0
162;0.0;3.025462962962963;0;0;0;0;81;0;83;0
163;0.0;2.849664351851852;0;0;0;0;145;0;130;0
164;0.0;2.6828819444444445;0;0;0;0;126;0;127;0
165;0.0;2.6111921296296297;0;0;0;0;1;0;0;0
166;0.0;3.0941435185185187;0;0;0;0;119;0;119;0
167;4.766666666666667;2.665891203703704;0;0;0;0;68;0;75;0
168;15.016666666666667;2.7968865740740743;0;0;0;0;63;0;71;0
169;0.0;3.0023726851851853;0;0;0;0;123;0;110;0
170;0.0;2.6359375;0;0;0;0;72;0;75;0
171;0.0;2.345289351851852;0;0;0;0;45;0;43;0
172;0.0;4.856215277777777;0;0;0;0;75;0;71;0
173;41.333333333333336;3.4445717592592593;0;0;0;0;25;0;19;0
174;0.0;2.893553240740741;0;0;0;0;123;0;115;0
175;0.0;2.9303703703703703;0;0;0;0;70;0;73;0
